sid,report
1264,http://mops.twse.com.tw/nas/STR/126420230417M001.pdf
4401,http://mops.twse.com.tw/nas/STR/440120221011M001.pdf
8454,http://mops.twse.com.tw/nas/STR/845420230526M001.pdf
2303,http://mops.twse.com.tw/nas/STR/230320230426M001.pdf
3189,http://mops.twse.com.tw/nas/STR/318920230517M004.pdf
1580,http://mops.twse.com.tw/nas/STR/158020230413M001.pdf
3169,http://mops.twse.com.tw/nas/STR/316920211116M001.pdf
2929,http://mops.twse.com.tw/nas/STR/292920230328M001.pdf
6488,http://mops.twse.com.tw/nas/STR/648820230516M001.pdf
5222,http://mops.twse.com.tw/nas/STR/522220221222M001.pdf
4558,http://mops.twse.com.tw/nas/STR/455820220216M001.pdf
4426,http://mops.twse.com.tw/nas/STR/442620221223M001.ppt
5274,http://mops.twse.com.tw/nas/STR/527420230330M001.pdf
3426,http://mops.twse.com.tw/nas/STR/342620220817M001.pdf
1590,http://mops.twse.com.tw/nas/STR/159020230509M003.pdf
6509,http://mops.twse.com.tw/nas/STR/650920220824M001.pdf
4966,http://mops.twse.com.tw/nas/STR/496620230518M001.pdf
3035,http://mops.twse.com.tw/nas/STR/303520230425M001.pdf
5471,http://mops.twse.com.tw/nas/STR/547120230510M001.pdf
5903,http://mops.twse.com.tw/nas/STR/590320230504M002.pdf
9802,http://mops.twse.com.tw/nas/STR/980220230426M001.pdf
4919,http://mops.twse.com.tw/nas/STR/491920230508M001.pdf
8066,http://mops.twse.com.tw/nas/STR/806620221111M001.pdf
6182,http://mops.twse.com.tw/nas/STR/618220230410M001.pdf
6457,http://mops.twse.com.tw/nas/STR/645720211116M001.pdf
6803,http://mops.twse.com.tw/nas/STR/680320230509M001.pdf
3016,http://mops.twse.com.tw/nas/STR/301620220922M001.pdf
5604,http://mops.twse.com.tw/nas/STR/560420220804M001.pdf
1219,http://mops.twse.com.tw/nas/STR/121920220830M001.pdf
1256,http://mops.twse.com.tw/nas/STR/125620221209M001.pdf
6129,http://mops.twse.com.tw/nas/STR/612920230314M001.pptx
3556,http://mops.twse.com.tw/nas/STR/355620221116M001.pdf
9951,http://mops.twse.com.tw/nas/STR/995120221216M001.pdf
4549,http://mops.twse.com.tw/nas/STR/454920230525M001.pdf
6287,http://mops.twse.com.tw/nas/STR/628720221219M001.pdf
6257,http://mops.twse.com.tw/nas/STR/625720220830M001.pdf
3686,http://mops.twse.com.tw/nas/STR/368620221221M001.pptx
4205,http://mops.twse.com.tw/nas/STR/420520220927M001.pdf
8928,http://mops.twse.com.tw/nas/STR/892820220330M001.pdf
1599,http://mops.twse.com.tw/nas/STR/159920221223M001.pdf
5306,http://mops.twse.com.tw/nas/STR/530620230515M001.pdf
2458,NA
2351,http://mops.twse.com.tw/nas/STR/235120230511M001.pdf
2338,http://mops.twse.com.tw/nas/STR/233820230307M001.pdf
8938,http://mops.twse.com.tw/nas/STR/893820230418M002.pdf
9940,http://mops.twse.com.tw/nas/STR/994020230512M001.pdf
6104,http://mops.twse.com.tw/nas/STR/610420220317M001.pdf
9933,http://mops.twse.com.tw/nas/STR/993320230509M001.pdf
1451,http://mops.twse.com.tw/nas/STR/145120221207M001.pdf
5288,http://mops.twse.com.tw/nas/STR/528820230303M001.pdf
4967,http://mops.twse.com.tw/nas/STR/496720221215M001.pdf
2379,http://mops.twse.com.tw/nas/STR/237920230517M001.pdf
3014,http://mops.twse.com.tw/nas/STR/301420230601M001.ppt
6415,http://mops.twse.com.tw/nas/STR/641520230512M001.pdf
4552,http://mops.twse.com.tw/nas/STR/455220230406M001.pptx
8924,http://mops.twse.com.tw/nas/STR/892420230316M001.pdf
3450,http://mops.twse.com.tw/nas/STR/345020221116M001.pptx
9914,NA
5345,http://mops.twse.com.tw/nas/STR/534520221222M001.pdf
4510,http://mops.twse.com.tw/nas/STR/451020221212M001.PDF
3661,http://mops.twse.com.tw/nas/STR/366120230509M001.pdf
2640,http://mops.twse.com.tw/nas/STR/264020230414M001.pdf
2348,http://mops.twse.com.tw/nas/STR/234820221130M002.pptx
8028,http://mops.twse.com.tw/nas/STR/802820221207M001.pdf
9911,http://mops.twse.com.tw/nas/STR/991120230607M001.pdf
5871,http://mops.twse.com.tw/nas/STR/587120230515M001.pdf
3260,http://mops.twse.com.tw/nas/STR/326020211022M001.pdf
4535,http://mops.twse.com.tw/nas/STR/453520220816M001.pdf
1232,http://mops.twse.com.tw/nas/STR/123220230317M001.pdf
4991,NA
1538,http://mops.twse.com.tw/nas/STR/153820221011M001.pdf
6271,http://mops.twse.com.tw/nas/STR/627120230420M001.pdf
5209,http://mops.twse.com.tw/nas/STR/520920230509M001.pdf
8081,http://mops.twse.com.tw/nas/STR/808120230510M001.pdf
5285,http://mops.twse.com.tw/nas/STR/528520230410M001.pdf
4968,http://mops.twse.com.tw/nas/STR/496820230428M001.pdf
3317,http://mops.twse.com.tw/nas/STR/331720220919M001.pdf
8040,NA
8027,http://mops.twse.com.tw/nas/STR/802720220805M001.pdf
2436,http://mops.twse.com.tw/nas/STR/243620230308M001.pdf
1584,http://mops.twse.com.tw/nas/STR/158420230411M001.pdf
2481,http://mops.twse.com.tw/nas/STR/248120230510M001.pdf
2330,http://mops.twse.com.tw/nas/STR/233020230420M001.pdf
5907,http://mops.twse.com.tw/nas/STR/590720221202M001.pdf
3171,http://mops.twse.com.tw/nas/STR/317120221117M001.pdf
1513,http://mops.twse.com.tw/nas/STR/151320230406M001.pdf
1535,http://mops.twse.com.tw/nas/STR/153520230424M001.pdf
1220,http://mops.twse.com.tw/nas/STR/122020221007M001.pptx
3675,http://mops.twse.com.tw/nas/STR/367520230523M001.pdf
1516,http://mops.twse.com.tw/nas/STR/151620221107M001.pptx
1514,http://mops.twse.com.tw/nas/STR/151420221123M001.pptx
3529,http://mops.twse.com.tw/nas/STR/352920230606M003.pdf
1558,http://mops.twse.com.tw/nas/STR/155820230421M001.pdf
6485,http://mops.twse.com.tw/nas/STR/648520221109M001.pdf
5269,http://mops.twse.com.tw/nas/STR/526920230511M001.pdf
3707,http://mops.twse.com.tw/nas/STR/370720220922M001.pdf
1210,http://mops.twse.com.tw/nas/STR/121020230530M001.pdf
9929,http://mops.twse.com.tw/nas/STR/992920221117M001.pdf
0050,NA
6139,http://mops.twse.com.tw/nas/STR/613920221223M001.pdf
2235,http://mops.twse.com.tw/nas/STR/223520210413M001.pdf
3416,http://mops.twse.com.tw/nas/STR/341620230303M001.pptx
2449,http://mops.twse.com.tw/nas/STR/244920230523M001.pdf
6533,http://mops.twse.com.tw/nas/STR/653320220713M001.pdf
2049,http://mops.twse.com.tw/nas/STR/204920230510M001.pdf
3483,http://mops.twse.com.tw/nas/STR/348320220823M001.pdf
5356,http://mops.twse.com.tw/nas/STR/535620221129M001.pdf
2395,http://mops.twse.com.tw/nas/STR/239520230510M002.pdf
8931,http://mops.twse.com.tw/nas/STR/893120230523M001.pdf
3017,http://mops.twse.com.tw/nas/STR/301720230530M001.pdf
2387,http://mops.twse.com.tw/nas/STR/238720221123M001.pdf
2357,http://mops.twse.com.tw/nas/STR/235720230512M001.pdf
3005,http://mops.twse.com.tw/nas/STR/300520230302M001.pdf
2388,http://mops.twse.com.tw/nas/STR/238820221104M001.pdf
3605,http://mops.twse.com.tw/nas/STR/360520221226M001.pdf
3548,http://mops.twse.com.tw/nas/STR/354820230606M001.pdf
3357,NA
3015,http://mops.twse.com.tw/nas/STR/301520230524M001.pdf
3484,NA
3037,http://mops.twse.com.tw/nas/STR/303720230526M001.pdf
5498,http://mops.twse.com.tw/nas/STR/549820210524M001.pdf
3078,NA
8046,http://mops.twse.com.tw/nas/STR/804620230522M001.pdf
2493,http://mops.twse.com.tw/nas/STR/249320220914M001.pdf
3465,http://mops.twse.com.tw/nas/STR/346520210506M001.pdf
6538,http://mops.twse.com.tw/nas/STR/653820221115M001.pdf
2476,http://mops.twse.com.tw/nas/STR/247620221125M001.pdf
6259,http://mops.twse.com.tw/nas/STR/625920221220M001.pdf
3557,http://mops.twse.com.tw/nas/STR/355720221209M001.pdf
3492,http://mops.twse.com.tw/nas/STR/349220210408M001.pdf
3217,http://mops.twse.com.tw/nas/STR/321720221114M001.pdf
3646,http://mops.twse.com.tw/nas/STR/364620220914M001.pdf
5227,http://mops.twse.com.tw/nas/STR/522720220913M001.pdf
6275,http://mops.twse.com.tw/nas/STR/627520220721M002.pdf
6208,http://mops.twse.com.tw/nas/STR/620820200807M001.pdf
3338,http://mops.twse.com.tw/nas/STR/333820221216M001.pdf
5291,http://mops.twse.com.tw/nas/STR/529120220913M001.pdf
3021,http://mops.twse.com.tw/nas/STR/302120230329M002.pdf
4927,http://mops.twse.com.tw/nas/STR/492720230516M001.pdf
6224,http://mops.twse.com.tw/nas/STR/622420221214M001.pdf
3653,http://mops.twse.com.tw/nas/STR/365320221201M001.pdf
3030,http://mops.twse.com.tw/nas/STR/303020230512M001.pdf
3042,http://mops.twse.com.tw/nas/STR/304220230607M002.pdf
2344,http://mops.twse.com.tw/nas/STR/234420230217M001.pdf
6203,http://mops.twse.com.tw/nas/STR/620320221201M001.pdf
6197,http://mops.twse.com.tw/nas/STR/619720230331M001.pdf
6191,http://mops.twse.com.tw/nas/STR/619120230530M001.pdf
5439,http://mops.twse.com.tw/nas/STR/543920230517M001.ppt
2383,http://mops.twse.com.tw/nas/STR/238320230508M001.pdf
6126,http://mops.twse.com.tw/nas/STR/612620211115M001.pdf
3023,http://mops.twse.com.tw/nas/STR/302320230605M001.pdf
4943,http://mops.twse.com.tw/nas/STR/494320221219M001.pdf
2905,http://mops.twse.com.tw/nas/STR/290520220916M001.pptx
3597,http://mops.twse.com.tw/nas/STR/359720210902M001.pptx
3526,http://mops.twse.com.tw/nas/STR/352620221116M001.pdf
2428,http://mops.twse.com.tw/nas/STR/242820230315M002.pdf
8390,http://mops.twse.com.tw/nas/STR/839020201120M001.pdf
8182,http://mops.twse.com.tw/nas/STR/818220220823M003.pdf
8213,http://mops.twse.com.tw/nas/STR/821320221109M001.pdf
8155,http://mops.twse.com.tw/nas/STR/815520201215M001.pdf
8210,http://mops.twse.com.tw/nas/STR/821020230606M002.pdf
8420,NA
2345,http://mops.twse.com.tw/nas/STR/234520221117M001.pdf
2355,http://mops.twse.com.tw/nas/STR/235520221124M001.pdf
3624,http://mops.twse.com.tw/nas/STR/362420220809M001.ppt
6292,http://mops.twse.com.tw/nas/STR/629220221209M001.pdf
8261,http://mops.twse.com.tw/nas/STR/826120221109M001.pdf
8121,http://mops.twse.com.tw/nas/STR/812120230413M001.pdf
6449,http://mops.twse.com.tw/nas/STR/644920221214M001.pdf
6276,http://mops.twse.com.tw/nas/STR/627620221215M001.pdf
6411,http://mops.twse.com.tw/nas/STR/641120230418M002.pdf
2308,http://mops.twse.com.tw/nas/STR/230820230428M001.pdf
3003,http://mops.twse.com.tw/nas/STR/300320220323M001.pdf
3515,http://mops.twse.com.tw/nas/STR/351520230608M001.pdf
2368,http://mops.twse.com.tw/nas/STR/236820230518M001.pptx
2454,http://mops.twse.com.tw/nas/STR/245420230428M001.pdf
4562,http://mops.twse.com.tw/nas/STR/456220221130M001.pdf
3545,http://mops.twse.com.tw/nas/STR/354520200513M001.pdf
3533,http://mops.twse.com.tw/nas/STR/353320230529M001.pdf
3264,http://mops.twse.com.tw/nas/STR/326420230224M001.pdf
8433,http://mops.twse.com.tw/nas/STR/843320220824M002.pdf
2472,http://mops.twse.com.tw/nas/STR/247220230418M001.pdf
2302,http://mops.twse.com.tw/nas/STR/230220221130M001.pdf
1907,http://mops.twse.com.tw/nas/STR/190720230517M001.pdf
3374,http://mops.twse.com.tw/nas/STR/337420230216M001.pdf
4538,http://mops.twse.com.tw/nas/STR/453820221110M001.pdf
3443,http://mops.twse.com.tw/nas/STR/344320230503M003.pdf
5483,http://mops.twse.com.tw/nas/STR/548320230516M001.pdf
1326,http://mops.twse.com.tw/nas/STR/132620230426M001.pdf
9950,http://mops.twse.com.tw/nas/STR/995020221209M001.pdf
1308,http://mops.twse.com.tw/nas/STR/130820230516M001.pdf
5530,http://mops.twse.com.tw/nas/STR/553020230328M001.pdf
6504,http://mops.twse.com.tw/nas/STR/650420221130M001.pdf
2836,http://mops.twse.com.tw/nas/STR/283620230531M001.pdf
2867,http://mops.twse.com.tw/nas/STR/286720230526M001.pdf
5876,http://mops.twse.com.tw/nas/STR/587620230519M001.pdf
2884,http://mops.twse.com.tw/nas/STR/288420230509M001.pdf
3048,http://mops.twse.com.tw/nas/STR/304820221116M001.pdf
2851,http://mops.twse.com.tw/nas/STR/285120230526M001.pdf
2347,http://mops.twse.com.tw/nas/STR/234720230511M001.pdf
3141,http://mops.twse.com.tw/nas/STR/314120220505M001.pdf
9945,http://mops.twse.com.tw/nas/STR/994520220412M002.pdf
2887,http://mops.twse.com.tw/nas/STR/288720230516M001.pdf
1313,http://mops.twse.com.tw/nas/STR/131320221122M001.pdf
6108,http://mops.twse.com.tw/nas/STR/610820220915M001.pdf
6205,http://mops.twse.com.tw/nas/STR/620520221130M001.pdf
6196,http://mops.twse.com.tw/nas/STR/619620220906M001.pdf
2404,NA
6270,http://mops.twse.com.tw/nas/STR/627020221027M001.pdf
2897,http://mops.twse.com.tw/nas/STR/289720230309M002.pdf
3580,http://mops.twse.com.tw/nas/STR/358020230316M001.pdf
6558,http://mops.twse.com.tw/nas/STR/655820221202M002.pdf
3093,http://mops.twse.com.tw/nas/STR/309320220819M001.pdf
8183,http://mops.twse.com.tw/nas/STR/818320200813M001.pdf
6409,http://mops.twse.com.tw/nas/STR/640920230601M001.pdf
5009,http://mops.twse.com.tw/nas/STR/500920230601M001.pdf
8033,http://mops.twse.com.tw/nas/STR/803320221214M001.pdf
5880,http://mops.twse.com.tw/nas/STR/588020230515M001.pdf
5284,http://mops.twse.com.tw/nas/STR/528420230605M001.pptx
5289,http://mops.twse.com.tw/nas/STR/528920230323M001.pdf
3089,http://mops.twse.com.tw/nas/STR/308920221223M001.pdf
2634,http://mops.twse.com.tw/nas/STR/263420230605M001.pdf
4526,http://mops.twse.com.tw/nas/STR/452620221206M001.pdf
8383,http://mops.twse.com.tw/nas/STR/838320201005M001.pdf
4566,http://mops.twse.com.tw/nas/STR/456620230515M001.pdf
3680,http://mops.twse.com.tw/nas/STR/368020230412M001.pdf
5538,http://mops.twse.com.tw/nas/STR/553820221026M001.pdf
1583,http://mops.twse.com.tw/nas/STR/158320221125M001.pdf
2937,http://mops.twse.com.tw/nas/STR/293720220825M001.pdf
6214,http://mops.twse.com.tw/nas/STR/621420230531M001.pdf
8349,http://mops.twse.com.tw/nas/STR/834920230327M001.pdf
6277,http://mops.twse.com.tw/nas/STR/627720230525M001.pdf
2382,http://mops.twse.com.tw/nas/STR/238220230511M001.pdf
8435,http://mops.twse.com.tw/nas/STR/843520221209M001.pdf
1593,http://mops.twse.com.tw/nas/STR/159320221229M001.pdf
8083,http://mops.twse.com.tw/nas/STR/808320221110M001.pdf
1521,http://mops.twse.com.tw/nas/STR/152120220905M001.ppt
3551,http://mops.twse.com.tw/nas/STR/355120211125M001.pdf
1785,http://mops.twse.com.tw/nas/STR/178520221122M001.pdf
8996,http://mops.twse.com.tw/nas/STR/899620221124M001.pdf
6192,http://mops.twse.com.tw/nas/STR/619220230328M001.pdf
2484,http://mops.twse.com.tw/nas/STR/248420221220M001.pdf
6435,http://mops.twse.com.tw/nas/STR/643520230313M001.pdf
6284,http://mops.twse.com.tw/nas/STR/628420230318M001.pdf
6227,http://mops.twse.com.tw/nas/STR/622720230510M001.pdf
6217,http://mops.twse.com.tw/nas/STR/621720220822M001.pdf
6494,NA
1102,NA
